Lemma	Word form	Template	POS	Features	Prefix	Suffix	Infix	Stem
valer	valent	ca-conj-dre2	VERB	Tense=Pres		ent		val
valer	valgut	ca-conj-dre2	VERB	Tense=Past;Number=Sing;Gender=Masc		gut		val
valer	valguts	ca-conj-dre2	VERB	Tense=Past;Number=Plur;Gender=Masc		guts		val
valer	valgudes	ca-conj-dre2	VERB	Tense=Past;Number=Plur;Gender=Fem		gudes		val
valer	valc	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		c		val
valer	vals	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=2;Number=Sing		s		val
valer	val	ca-conj-dre2	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Sing				val
valer	valem	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Plur		em		val
valer	valeu	ca-conj-dre2	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Plur		eu		val
valer	valen	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Plur		en		val
valer	valia	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Imp		ia		val
valer	valies	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Imp		ies		val
valer	valíem	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Imp		íem		val
valer	valíeu	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Imp		íeu		val
valer	valien	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Imp		ien		val
valer	valdré	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Sing		dré		val
valer	valdràs	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Sing		dràs		val
valer	valdrà	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Sing		drà		val
valer	valdrem	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Plur		drem		val
valer	valdreu	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Plur		dreu		val
valer	valdran	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Plur		dran		val
valer	valguí	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=1;Number=Sing;Aspect=Perf		guí		val
valer	valgueres	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Perf		gueres		val
valer	valgué	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Perf		gué		val
valer	valguérem	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Perf		guérem		val
valer	valguéreu	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Perf		guéreu		val
valer	valgueren	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Perf		gueren		val
valer	valdria	ca-conj-dre2	VERB	Mood=Cnd;Person=3;Number=Sing		dria		val
valer	valdries	ca-conj-dre2	VERB	Mood=Cnd;Person=2;Number=Sing		dries		val
valer	valdríem	ca-conj-dre2	VERB	Mood=Cnd;Person=1;Number=Plur		dríem		val
valer	valdríeu	ca-conj-dre2	VERB	Mood=Cnd;Person=2;Number=Plur		dríeu		val
valer	valdrien	ca-conj-dre2	VERB	Mood=Cnd;Person=3;Number=Plur		drien		val
valer	valgui	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Sing		gui		val
valer	valguis	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Sing		guis		val
valer	valguem	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=1;Number=Plur		guem		val
valer	valgueu	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		gueu		val
valer	valguin	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		guin		val
valer	valgués	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=3;Number=Sing		gués		val
valer	valguessis	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=2;Number=Sing		guessis		val
valer	valguéssim	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=1;Number=Plur		guéssim		val
valer	valguéssiu	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=2;Number=Plur		guéssiu		val
valer	valguessin	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur		guessin		val
valer	valent	ca-conj-dre2	VERB	Tense=Pres;VerbForm=Part		ent		val
valer	valgut	ca-conj-dre2	VERB	Tense=Past;Number=Sing;Gender=Masc		gut		val
valer	valguts	ca-conj-dre2	VERB	Tense=Past;Number=Plur;Gender=Masc		guts		val
valer	valgudes	ca-conj-dre2	VERB	Tense=Past;Number=Plur;Gender=Fem		gudes		val
valer	valc	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		c		val
valer	vals	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=2;Number=Sing		s		val
valer	val	ca-conj-dre2	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Sing				val
valer	valem	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Plur		em		val
valer	valeu	ca-conj-dre2	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Plur		eu		val
valer	valen	ca-conj-dre2	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Plur		en		val
valer	valia	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Imp		ia		val
valer	valies	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Imp		ies		val
valer	valíem	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Imp		íem		val
valer	valíeu	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Imp		íeu		val
valer	valien	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Imp		ien		val
valer	valdré	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Sing		dré		val
valer	valdràs	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Sing		dràs		val
valer	valdrà	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Sing		drà		val
valer	valdrem	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Plur		drem		val
valer	valdreu	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Plur		dreu		val
valer	valdran	ca-conj-dre2	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Plur		dran		val
valer	valguí	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=1;Number=Sing;Aspect=Perf		guí		val
valer	valgueres	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Perf		gueres		val
valer	valgué	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Perf		gué		val
valer	valguérem	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Perf		guérem		val
valer	valguéreu	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Perf		guéreu		val
valer	valgueren	ca-conj-dre2	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Perf		gueren		val
valer	valdria	ca-conj-dre2	VERB	Mood=Cnd;Person=3;Number=Sing		dria		val
valer	valdries	ca-conj-dre2	VERB	Mood=Cnd;Person=2;Number=Sing		dries		val
valer	valdríem	ca-conj-dre2	VERB	Mood=Cnd;Person=1;Number=Plur		dríem		val
valer	valdríeu	ca-conj-dre2	VERB	Mood=Cnd;Person=2;Number=Plur		dríeu		val
valer	valdrien	ca-conj-dre2	VERB	Mood=Cnd;Person=3;Number=Plur		drien		val
valer	valgui	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Sing		gui		val
valer	valguis	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Sing		guis		val
valer	valguem	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=1;Number=Plur		guem		val
valer	valgueu	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		gueu		val
valer	valguin	ca-conj-dre2	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		guin		val
valer	valgués	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=3;Number=Sing		gués		val
valer	valguessis	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=2;Number=Sing		guessis		val
valer	valguéssim	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=1;Number=Plur		guéssim		val
valer	valguéssiu	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=2;Number=Plur		guéssiu		val
valer	valguessin	ca-conj-dre2	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur		guessin		val
contenir	contenir	ca-conj-ir-tenir	VERB	VerbForm=Inf		ir		conten
contenir	contenint	ca-conj-ir-tenir	VERB	Tense=Pres;VerbForm=Part		int		conten
contenir	contingut	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Masc		gut		contin
contenir	continguda	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Fem		guda		contin
contenir	continguts	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Masc		guts		contin
contenir	contingudes	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Fem		gudes		contin
contenir	continc	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		c		contin
contenir	contens	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=2;Number=Sing		s		conten
contenir	conté	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing				conté
contenir	contenim	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Plur		im		conten
contenir	conteniu	ca-conj-ir-tenir	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Plur		iu		conten
contenir	contenen	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Plur		en		conten
contenir	contenia	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Imp		ia		conten
contenir	contenies	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Imp		ies		conten
contenir	conteníem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Imp		íem		conten
contenir	conteníeu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Imp		íeu		conten
contenir	contenien	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Imp		ien		conten
contenir	contindré	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Sing		dré		contin
contenir	contindràs	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Sing		dràs		contin
contenir	contindrà	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Sing		drà		contin
contenir	contindrem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Plur		drem		contin
contenir	contindreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Plur		dreu		contin
contenir	contindran	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Plur		dran		contin
contenir	continguí	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Sing;Aspect=Perf		guí		contin
contenir	contingueres	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Perf		gueres		contin
contenir	contingué	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Perf		gué		contin
contenir	continguérem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Perf		guérem		contin
contenir	continguéreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Perf		guéreu		contin
contenir	contingueren	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Perf		gueren		contin
contenir	contindria	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=3;Number=Sing		dria		contin
contenir	contindries	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=2;Number=Sing		dries		contin
contenir	contindríem	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=1;Number=Plur		dríem		contin
contenir	contindríeu	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=2;Number=Plur		dríeu		contin
contenir	contindrien	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=3;Number=Plur		drien		contin
contenir	contingui	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Sing		gui		contin
contenir	continguis	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Sing		guis		contin
contenir	continguem	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=1;Number=Plur		guem		contin
contenir	contingueu	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		gueu		contin
contenir	continguin	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		guin		contin
contenir	contingués	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=3;Number=Sing		gués		contin
contenir	continguessis	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=2;Number=Sing		guessis		contin
contenir	continguéssim	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=1;Number=Plur		guéssim		contin
contenir	continguéssiu	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=2;Number=Plur		guéssiu		contin
contenir	continguessin	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur		guessin		contin
contenir	contenir	ca-conj-ir-tenir	VERB	VerbForm=Inf		ir		conten
contenir	contenint	ca-conj-ir-tenir	VERB	Tense=Pres;VerbForm=Part		int		conten
contenir	contingut	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Masc		gut		contin
contenir	continguda	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Fem		guda		contin
contenir	continguts	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Masc		guts		contin
contenir	contingudes	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Fem		gudes		contin
contenir	continc	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		c		contin
contenir	contens	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=2;Number=Sing		s		conten
contenir	conté	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing				conté
contenir	contenim	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Plur		im		conten
contenir	conteniu	ca-conj-ir-tenir	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Plur		iu		conten
contenir	contenen	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Plur		en		conten
contenir	contenia	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Imp		ia		conten
contenir	contenies	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Imp		ies		conten
contenir	conteníem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Imp		íem		conten
contenir	conteníeu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Imp		íeu		conten
contenir	contenien	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Imp		ien		conten
contenir	contindré	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Sing		dré		contin
contenir	contindràs	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Sing		dràs		contin
contenir	contindrà	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Sing		drà		contin
contenir	contindrem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Plur		drem		contin
contenir	contindreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Plur		dreu		contin
contenir	contindran	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Plur		dran		contin
contenir	continguí	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Sing;Aspect=Perf		guí		contin
contenir	contingueres	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Perf		gueres		contin
contenir	contingué	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Perf		gué		contin
contenir	continguérem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Perf		guérem		contin
contenir	continguéreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Perf		guéreu		contin
contenir	contingueren	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Perf		gueren		contin
contenir	contindria	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=3;Number=Sing		dria		contin
contenir	contindries	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=2;Number=Sing		dries		contin
contenir	contindríem	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=1;Number=Plur		dríem		contin
contenir	contindríeu	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=2;Number=Plur		dríeu		contin
contenir	contindrien	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=3;Number=Plur		drien		contin
contenir	contingui	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Sing		gui		contin
contenir	continguis	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Sing		guis		contin
contenir	continguem	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=1;Number=Plur		guem		contin
contenir	contingueu	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		gueu		contin
contenir	continguin	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		guin		contin
contenir	contingués	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=3;Number=Sing		gués		contin
contenir	continguessis	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=2;Number=Sing		guessis		contin
contenir	continguéssim	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=1;Number=Plur		guéssim		contin
contenir	continguéssiu	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=2;Number=Plur		guéssiu		contin
contenir	continguessin	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur		guessin		contin
retenir	retenir	ca-conj-ir-tenir	VERB	VerbForm=Inf		ir		reten
retenir	retenint	ca-conj-ir-tenir	VERB	Tense=Pres;VerbForm=Part		int		reten
retenir	retingut	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Masc		gut		retin
retenir	retinguda	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Fem		guda		retin
retenir	retinguts	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Masc		guts		retin
retenir	retingudes	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Fem		gudes		retin
retenir	retinc	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		c		retin
retenir	retens	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=2;Number=Sing		s		reten
retenir	reté	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing				reté
retenir	retenim	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Plur		im		reten
retenir	reteniu	ca-conj-ir-tenir	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Plur		iu		reten
retenir	retenen	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Plur		en		reten
retenir	retenia	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Imp		ia		reten
retenir	retenies	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Imp		ies		reten
retenir	reteníem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Imp		íem		reten
retenir	reteníeu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Imp		íeu		reten
retenir	retenien	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Imp		ien		reten
retenir	retindré	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Sing		dré		retin
retenir	retindràs	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Sing		dràs		retin
retenir	retindrà	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Sing		drà		retin
retenir	retindrem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Plur		drem		retin
retenir	retindreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Plur		dreu		retin
retenir	retindran	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Plur		dran		retin
retenir	retinguí	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Sing;Aspect=Perf		guí		retin
retenir	retingueres	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Perf		gueres		retin
retenir	retingué	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Perf		gué		retin
retenir	retinguérem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Perf		guérem		retin
retenir	retinguéreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Perf		guéreu		retin
retenir	retingueren	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Perf		gueren		retin
retenir	retindria	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=3;Number=Sing		dria		retin
retenir	retindries	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=2;Number=Sing		dries		retin
retenir	retindríem	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=1;Number=Plur		dríem		retin
retenir	retindríeu	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=2;Number=Plur		dríeu		retin
retenir	retindrien	ca-conj-ir-tenir	VERB	Mood=Cnd;Person=3;Number=Plur		drien		retin
retenir	retingui	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Sing		gui		retin
retenir	retinguis	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Sing		guis		retin
retenir	retinguem	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=1;Number=Plur		guem		retin
retenir	retingueu	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=2;Number=Plur		gueu		retin
retenir	retinguin	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Pres;Person=3;Number=Plur		guin		retin
retenir	retingués	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=3;Number=Sing		gués		retin
retenir	retinguessis	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=2;Number=Sing		guessis		retin
retenir	retinguéssim	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=1;Number=Plur		guéssim		retin
retenir	retinguéssiu	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=2;Number=Plur		guéssiu		retin
retenir	retinguessin	ca-conj-ir-tenir	VERB	Mood=Sub;Tense=Past;Person=3;Number=Plur		guessin		retin
retenir	retenir	ca-conj-ir-tenir	VERB	VerbForm=Inf		ir		reten
retenir	retenint	ca-conj-ir-tenir	VERB	Tense=Pres;VerbForm=Part		int		reten
retenir	retingut	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Masc		gut		retin
retenir	retinguda	ca-conj-ir-tenir	VERB	Tense=Past;Number=Sing;Gender=Fem		guda		retin
retenir	retinguts	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Masc		guts		retin
retenir	retingudes	ca-conj-ir-tenir	VERB	Tense=Past;Number=Plur;Gender=Fem		gudes		retin
retenir	retinc	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Sing		c		retin
retenir	retens	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=2;Number=Sing		s		reten
retenir	reté	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Sing				reté
retenir	retenim	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=1;Number=Plur		im		reten
retenir	reteniu	ca-conj-ir-tenir	VERB	Polarity=Pos;Mood=Jus;Person=2;Number=Plur		iu		reten
retenir	retenen	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Pres;Person=3;Number=Plur		en		reten
retenir	retenia	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Sing;Aspect=Imp		ia		reten
retenir	retenies	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Sing;Aspect=Imp		ies		reten
retenir	reteníem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Plur;Aspect=Imp		íem		reten
retenir	reteníeu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=2;Number=Plur;Aspect=Imp		íeu		reten
retenir	retenien	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=3;Number=Plur;Aspect=Imp		ien		reten
retenir	retindré	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Sing		dré		retin
retenir	retindràs	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Sing		dràs		retin
retenir	retindrà	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Sing		drà		retin
retenir	retindrem	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=1;Number=Plur		drem		retin
retenir	retindreu	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=2;Number=Plur		dreu		retin
retenir	retindran	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Fut;Person=3;Number=Plur		dran		retin
retenir	retinguí	ca-conj-ir-tenir	VERB	Mood=Ind;Tense=Past;Person=1;Number=Sing;Aspect=Perf		guí		retin
